movie,year,numberofwords,time,toptenwords
TheJungleBooksrt,1967,8103,74.62mins,"['man', 'now', 'do', 're', 'doo', 'mowgli', 'cub', 'baloo', 'with', 'look']"
ThoroughlyModernMilliesrt,1967,7813,145.93mins,"['do', 'm', 'miss', 'dorothy', 'but', 'your', 're', 'millie', 'jimmy', 'just']"
ToSirwithLovesrt,1967,8057,99.13mins,"['l', 'your', 'do', 'lt', 're', 'll', 'm', 'with', 'are', 'know']"
ValleyoftheDollssrt,1967,10307,121.71mins,"['m', 'll', 'know', 'but', 'with', 'they', 'do', 're', 'out', 'are']"
YouOnlyLiveTwicesrt,1967,5456,114.95mins,"['now', 'yes', 'are', 'do', 'one', 'mr', 're', 'but', 'm', 'your']"
2001ASpaceOdysseysrt,1968,5290,117.05mins,"['hal', 'm', 'about', 'do', 'your', 'with', 'dr', 'think', 'are', 're']"
Bullittsrt,1968,5063,113.65mins,"['him', 'ross', 'got', 'now', 'do', 'there', 'are', 'right', 'his', 'with']"
FunnyGirlsrt,1968,10407,154.37mins,"['m', 'll', 'do', 'but', 'fanny', 'with', 'so', 'your', 'know', 're']"
Oliversrt,1968,9437,144.84mins,"['pah', 'll', 'him', 'l', 'who', 'your', 'will', 'do', 'come', 've']"
PlanetoftheApessrt,1968,7006,110.88mins,"['your', 'but', 'there', 're', 'are', 'him', 'they', 'dr', 'do', 'man']"
RachelRachelsrt,1968,7905,96.95mins,"['m', 'just', 'know', 'your', 'do', 'rachel', 'love', 're', 'so', 'are']"
RomeoandJulietsrt,1968,9173,135.94mins,"['thou', 'romeo', 'thy', 'with', 'thee', 'love', 'so', 'but', 'your', 'shall']"
RosemarysBabysrt,1968,13493,136.69mins,"['re', 'm', 'do', 'are', 'there', 'll', 'they', 'right', 'know', 'now']"
TheLioninWintersrt,1968,12902,133.05mins,"['ll', 've', 're', 'your', 'do', 'henry', 'm', 'know', 'him', 'are']"
TheOddCouplesrt,1968,11932,104.40mins,"['m', 'do', 're', 'your', 'll', 'want', 'know', 'felix', 'with', 'out']"
YoursMineandOurssrt,1968,12657,108.80mins,"['m', 'your', 'are', 'frank', 'do', 'out', 'but', 'know', 'now', 'here']"
MidnightCowboysrt,1969,7139,108.23mins,"['m', 're', 'got', 'here', 'your', 'do', 'up', 'll', 'there', 'out']"
AnneofTheThousandDayssrt,1969,12965,139.38mins,"['your', 'will', 'king', 'with', 'queen', 'do', 'if', 'but', 'love', 'as']"
BobCarolTedAlicesrt,1969,10028,99.10mins,"['do', 'know', 'm', 'feel', 'just', 're', 'with', 'want', 'your', 'really']"
ButchCassidyAndTheSundanceKidsrt,1969,7024,109.26mins,"['re', 'they', 'do', 'got', 'll', 'know', 'there', 'go', 'up', 'are']"
CactusFlowersrt,1969,13210,98.02mins,"['your', 'with', 'm', 're', 'll', 'about', 'do', 'julian', 'wife', 'know']"
EasyRidersrt,1969,4723,95.17mins,"['man', 're', 'they', 'know', 'got', 'm', 'here', 'do', 'them', 'right']"
GoodbyeColumbussrt,1969,9436,101.84mins,"['do', 'your', 'know', 'go', 'm', 'why', 'are', 'll', 'come', 'there']"
HelloDollysrt,1969,15344,140.31mins,"['your', 'll', 're', 'm', 'there', 'mr', 'do', 'if', 'are', 'dolly']"
PaintYourWagonsrt,1969,14468,164.36mins,"['there', 'your', 'here', 'ben', 'ain', 'out', 'know', 'll', 'go', 'where']"
TheLoveBugsrt,1969,9742,102.42mins,"['car', 'now', 'do', 'know', 'little', 'out', 'm', 'herbie', 'your', 'up']"
TrueGritsrt,1969,12477,126.83mins,"['ll', 'him', 'your', 'with', 're', 'do', 'm', 'there', 'they', 'up']"
Zsrt,1969,10706,120.71mins,"['l', 'they', 'll', 'your', 'him', 'but', 'with', 'lt', 'are', 'his']"
Airportsrt,1970,14782,0.28mins,"['ll', 'm', 'but', 'they', 'two', 'right', 're', 'do', 've', 'if']"
Catch22srt,1970,10034,114.72mins,"['re', 'do', 'they', 'm', 'll', 'know', 'him', 'there', 'your', 'are']"
FiveEasyPiecessrt,1970,7314,96.51mins,"['m', 'do', 'll', 'just', 'there', 're', 'f', 'your', 'know', 'up']"
LittleBigMansrt,1970,9845,138.05mins,"['but', 'they', 'your', 'man', 'with', 'do', 'there', 'them', 'him', 'are']"
LoveStorysrt,1970,6311,100.18mins,"['m', 'll', 'your', 'do', 'barrett', 're', 'are', 'but', 'why', 'yeah']"
Pattonsrt,1970,11208,170.49mins,"['re', 'general', 'they', 'your', 'here', 'with', 'll', 'there', 'know', 'do']"
RyansDaughtersrt,1970,7485,201.86mins,"['re', 'll', 'now', 'yes', 'come', 'know', 'rose', 'then', 'are', 'there']"
TheOwlandThePussycatsrt,1970,9139,92.52mins,"['m', 'do', 'your', 're', 'know', 'are', 'll', 'about', 'got', 'doris']"
ToraToraTorasrt,1970,8160,146.76mins,"['are', 'at', 're', 'our', 'but', 'with', 'they', 'from', 'yes', 'will']"
Woodstocksrt,1970,13335,208.85mins,"['they', 'going', 'know', 'there', 'are', 'do', 'm', 'got', 're', 'baby']"
AClockworkOrangesrt,1971,10759,133.93mins,"['do', 'your', 'very', 'are', 'with', 'now', 'good', 've', 'right', 'm']"
BillyJacksrt,1971,11184,110.89mins,"['do', 'your', 'out', 're', 'going', 'know', 'just', 'here', 'are', 'now']"
CarnalKnowledgesrt,1971,6478,93.64mins,"['do', 'm', 'with', 're', 'want', 'so', 'your', 'know', 'about', 'up']"
DiamondsAreForeversrt,1971,7560,118.55mins,"['mr', 'there', 'your', 'm', 'are', 'one', 'do', 've', 're', 'll']"
DirtyHarrysrt,1971,5740,102.27mins,"['him', 'll', 'do', 'm', 'got', 'know', 're', 'right', 'there', 'up']"
FiddlerontheRoofsrt,1971,13688,180.93mins,"['your', 'dai', 'good', 'but', 'do', 'are', 'him', 'with', 'they', 'll']"
NicholasandAlexandrasrt,1971,14485,184.07mins,"['they', 'your', 'will', 'them', 'him', 'do', 're', 'm', 've', 'll']"
Summerof42srt,1971,7264,102.97mins,"['hermie', 'come', 'do', 're', 'know', 'll', 'm', 'go', 'there', 'your']"
SweetSweetbacksBaadasssssSongsrt,1971,4675,96.42mins,"['sweetback', 'come', 'him', 'know', 'your', 'man', 'they', 'where', 'here', 'do']"
TheFrenchConnectionsrt,1971,6522,101.97mins,"['your', 'here', 'man', 'there', 'come', 'him', 'right', 'up', 'got', 'yeah']"
TheLastPictureShowsrt,1971,13188,126.34mins,"['just', 'do', 'know', 'with', 'here', 'your', 'll', 'got', 'man', 'out']"
BrothersoftheWindsrt,1972,2081,92.37mins,"['abel', 'his', 'lukas', 'but', 'him', 'come', 'your', 'would', 'one', 'so']"
Cabaretsrt,1972,8243,120.83mins,"['l', 'money', 'm', 'but', 'so', 'lt', 'do', 'think', 'with', 're']"
DeepThroat1972srt,1972,2617,55.74mins,"['your', 'do', 'm', 'll', 'just', 've', 'know', 'there', 'how', 'are']"
Deliverancesrt,1972,5474,108.85mins,"['right', 'there', 'lewis', 're', 'gonna', 'do', 'go', 'up', 'know', 'here']"
JeremiahJohnsonsrt,1972,3632,113.21mins,"['are', 'your', 'them', 'here', 'they', 'do', 'ain', 'there', 'will', 'll']"
LadySingstheBluessrt,1972,14446,143.04mins,"['come', 'know', 'billie', 're', 'do', 'right', 'm', 'now', 'here', 'your']"
Soundersrt,1972,7936,103.57mins,"['come', 'daddy', 'now', 'here', 'go', 'david', 'your', 'nathan', 'do', 'lee']"
TheEmigrantssrt,1972,9518,192.05mins,"['your', 'll', 'they', 'there', 'are', 're', 'with', 'but', 'do', 'here']"
TheGetawaysrt,1972,5334,120.90mins,"['up', 'there', 'm', 'here', 'now', 'one', 're', 'do', 'got', 'out']"
TheGodfatherPartIsrt,1972,11376,172.90mins,"['your', 'll', 'him', 'do', 'with', 'out', 'want', 'they', 'go', 're']"
ThePoseidonAdventuresrt,1972,8365,116.94mins,"['up', 'come', 'right', 'go', 're', 'll', 'there', 'do', 'm', 'your']"
WhatsUpDocsrt,1972,8785,93.78mins,"['howard', 'eunice', 'm', 'your', 'there', 'do', 'are', 're', 'll', 'know']"
Atouchofclasssrt,1973,9688,105.04mins,"['m', 'do', 'are', 'll', 'with', 'your', 'just', 've', 're', 'right']"
AmericanGraffitisrt,1973,11266,109.13mins,"['yeah', 'know', 'hey', 'm', 'out', 'got', 'just', 'do', 'right', 'come']"
CriesandWhisperssrt,1973,3673,91.87mins,"['so', 'your', 'm', 'now', 'with', 'anna', 'come', 'agnes', 'll', 'are']"
LastTangoinParissrt,1973,8232,129.43mins,"['l', 'know', 'm', 'lt', 'but', 'your', 're', 'here', 'are', 'do']"
LiveandLetDiesrt,1973,6478,121.06mins,"['there', 'your', 'now', 'll', 'with', 'bond', 'out', 'just', 'got', 'do']"
MagnumForcesrt,1973,7366,121.40mins,"['your', 'll', 'do', 'right', 'there', 're', 'out', 'with', 'they', 'just']"
PaperMoonsrt,1973,12217,97.54mins,"['just', 'got', 'your', 'll', 'ain', 'now', 'know', 're', 'going', 'there']"
Papillonsrt,1973,5945,148.18mins,"['come', 'there', 'here', 're', 'll', 'right', 'your', 'up', 'him', 'if']"
Serpicosrt,1973,11310,127.46mins,"['know', 'right', 'frank', 'do', 're', 'm', 'your', 'll', 'are', 'go']"
TheExorcistsrt,1973,9023,128.06mins,"['do', 'your', 'know', 'm', 'christ', 'father', 'there', 'who', 'regan', 'see']"
TheStingsrt,1973,11038,127.28mins,"['him', 'll', 'got', 'here', 'up', 're', 'there', 'at', 'do', 'know']"
TheWayWeWeresrt,1973,8098,112.25mins,"['m', 'your', 're', 'do', 'are', 'know', 'll', 'but', 'they', 'hubbell']"
Airport1975srt,1974,9680,104.33mins,"['re', 'there', 'right', 'do', 'll', 'now', 'your', 'nancy', 'just', 'm']"
BlazingSaddlessrt,1974,6864,91.58mins,"['your', 'do', 'they', 're', 'here', 'right', 'out', 'are', 'sheriff', 'now']"
Chinatownsrt,1974,10350,129.01mins,"['do', 'mr', 'know', 'mulwray', 'your', 're', 'they', 'gittes', 'out', 'about']"
DeathWishsrt,1974,7218,92.70mins,"['ll', 'do', 'there', 'they', 'are', 'know', 'out', 'your', 'good', 'kersey']"
Earthquakesrt,1974,11264,150.25mins,"['ll', 'm', 'here', 'right', 'come', 'there', 're', 'now', 'are', 'up']"
Lennysrt,1974,13101,109.94mins,"['know', 'do', 're', 'm', 'man', 'there', 'if', 'they', 'really', 'just']"
TheConversationsrt,1974,8905,107.67mins,"['harry', 'do', 'know', 'm', 'think', 'about', 'did', 'right', 'are', 'here']"
TheGodfatherPartIIsrt,1974,11376,172.90mins,"['your', 'll', 'him', 'do', 'with', 'out', 'want', 'they', 'go', 're']"
TheLongestYardsrt,1974,9319,121.05mins,"['right', 're', 'crewe', 'up', 'got', 'out', 'do', 'one', 'mean', 'going']"
TheToweringInfernosrt,1974,8841,164.85mins,"['ll', 'there', 'up', 'right', 'here', 'out', 'they', 'go', 're', 'your']"
TheTrialofBillyJacksrt,1974,17600,164.56mins,"['they', 'your', 'do', 'just', 'are', 'now', 're', 'out', 'right', 'here']"
YoungFrankensteinsrt,1974,6457,105.61mins,"['are', 'yes', 'your', 'do', 'good', 'm', 'there', 'but', 'now', 'just']"
BarryLyndonsrt,1975,12549,184.56mins,"['barry', 'your', 'his', 'with', 'background', 'but', 'narrator', 'will', 'as', 'him']"
DogDayAfternoonsrt,1975,13463,122.40mins,"['right', 'know', 'got', 'out', 're', 'they', 'going', 'm', 'here', 'there']"
FunnyLadysrt,1975,13749,137.91mins,"['do', 're', 'll', 'm', 'your', 'how', 'know', 'got', 'here', 'right']"
Jawssrt,1975,9549,122.55mins,"['out', 'm', 're', 'got', 'going', 'there', 'shark', 'him', 'do', 'up']"
Nashvillesrt,1975,15742,157.85mins,"['m', 'are', 'here', 'do', 're', 'know', 'right', 'just', 'how', 'come']"
OneFlewOverTheCuckoosNestsrt,1975,11451,133.63mins,"['l', 'right', 'here', 'mr', 'm', 'your', 'up', 're', 'just', 'come']"
Shampoosrt,1975,11001,107.33mins,"['know', 'do', 'uh', 'm', 're', 'george', 'just', 'yeah', 'want', 'are']"
TheOtherSideoftheMountainsrt,1975,8319,99.07mins,"['do', 're', 'right', 'go', 'your', 'll', 'm', 'jill', 'just', 'gonna']"
TheReturnofthePinkPanthersrt,1975,6956,111.82mins,"['yes', 'do', 'your', 'but', 'him', 'there', 'with', 'very', 'know', 'if']"
TheRockyHorrorPictureShowsrt,1975,9840,98.61mins,"['brad', 'janet', 'm', 'your', 'but', 'do', 're', 'with', 'just', 'time']"
ThreeDaysoftheCondorsrt,1975,8108,116.17mins,"['do', 're', 'know', 'there', 'they', 'right', 'll', 'are', 'm', 'where']"
Tommysrt,1975,5034,108.44mins,"['tommy', 'your', 'see', 'm', 'hear', 're', 'his', 'him', 'feel', 'never']"
AStarIsBornsrt,1976,10927,129.57mins,"['do', 're', 'your', 'are', 'm', 'out', 'll', 'go', 'want', 'with']"
AllthePresidentsMensrt,1976,17355,134.63mins,"['know', 'do', 're', 'there', 'just', 'm', 'if', 'they', 'at', 'who']"
BoundforGlorysrt,1976,12164,148.09mins,"['just', 'your', 'there', 'uh', 'do', 'm', 'got', 're', 'ain', 'woody']"
KingKongsrt,1976,4795,131.71mins,"['ll', 'there', 'your', 'm', 'kong', 'are', 'right', 'here', 're', 'come']"
Midwaysrt,1976,11575,128.84mins,"['admiral', 'out', 'they', 'our', 'your', 'from', 'are', 'but', 'll', 're']"
Networksrt,1976,14921,119.40mins,"['m', 'with', 're', 'beale', 'howard', 'out', 'll', 'want', 'show', 'your']"
Rockysrt,1976,8918,112.39mins,"['got', 'your', 'want', 'm', 're', 'rocky', 'do', 'know', 'fight', 'with']"
SilentMoviesrt,1976,556,83.74mins,"['music', 'instrumental', 'light', 'fast', 'paced', 'drum', 'roll', 'suspenseful', 'dramatic', 'joyful']"
SilverStreaksrt,1976,10696,111.57mins,"['are', 'do', 'm', 'your', 'right', 're', 'there', 'they', 'll', 'train']"
TaxiDriversrt,1976,9310,110.48mins,"['know', 'do', 'm', 'll', 're', 'got', 'there', 'are', 'yeah', 'man']"
TheBadNewsBearssrt,1976,11917,100.28mins,"['go', 'your', 'out', 're', 'right', 'got', 'up', 'let', 'two', 'do']"
TheEnforcersrt,1976,6433,91.24mins,"['ll', 'do', 're', 'there', 'your', 'right', 'with', 'out', 'here', 'they']"
TheOmensrt,1976,6097,111.01mins,"['there', 'damien', 'him', 'right', 'yes', 'll', 'your', 'just', 'here', 'will']"
ABridgeTooFarsrt,1977,11052,171.55mins,"['they', 're', 'right', 'go', 'but', 'come', 'now', 'are', 'your', 'here']"
AnnieHallsrt,1977,13895,91.33mins,"['m', 're', 'know', 'with', 'do', 'there', 'are', 'think', 'just', 'so']"
CloseEncountersoftheThirdKindsrt,1977,70,137.18mins,"['from', 'been', 'especially', 'did', 'these', 'sounds', 'how', 'long', 'working', 'project']"
Juliasrt,1977,7331,114.75mins,"['do', 'm', 'your', 'there', 'know', 'yes', 'will', 'see', 'but', 'julia']"
OhGodsrt,1977,10840,96.14mins,"['god', 'do', 'm', 'your', 'with', 're', 'know', 'him', 'just', 'one']"
SaturdayNightFeversrt,1977,15972,122.21mins,"['know', 'yeah', 'right', 'hey', 'm', 'come', 'do', 're', 'got', 'just']"
SmokeyAndTheBanditsrt,1977,9441,95.72mins,"['got', 'm', 'bandit', 're', 'your', 'do', 'gonna', 'up', 'just', 'there']"
StarWarssrt,1977,10831,120.25mins,"['your', 're', 'there', 'll', 'they', 'm', 'here', 'are', 've', 'luke']"
TheDeepsrt,1977,6504,122.82mins,"['there', 'right', 'up', 'david', 'down', 'know', 'here', 'treece', 'but', 'just']"
TheGoodbyeGirlsrt,1977,12238,110.49mins,"['m', 'your', 'ªâ', 'do', 'â', 'ª', 'are', 'with', 'up', 'll']"
TheSpyWhoLovedMesrt,1977,5936,125.40mins,"['mr', 'm', 'with', 're', 'there', 'bond', 'will', 'yes', 'your', 'do']"
TheTurningPointsrt,1977,8650,111.59mins,"['so', 'do', 'know', 'are', 'emma', 'your', 're', 'with', 'm', 'now']"
AnUnmarriedWomansrt,1978,12039,120.86mins,"['m', 'know', 'do', 'with', 're', 'want', 'think', 'about', 'just', 'your']"
ComingHomesrt,1978,9531,125.58mins,"['m', 'they', 'do', 're', 'just', 'know', 'got', 'go', 'there', 'your']"
EveryWhichWayButLoosesrt,1978,7440,110.28mins,"['him', 'do', 'here', 'are', 'know', 'there', 'll', 'clyde', 'want', 'just']"
Greasesrt,1978,12953,110.38mins,"['go', 'hey', 'are', 'yeah', 'come', 're', 'do', 'm', 'right', 'your']"
Halloweensrt,1978,4914,87.50mins,"['right', 'up', 'him', 'here', 're', 'go', 'm', 'do', 'yeah', 'there']"
HeavenCanWaitsrt,1978,10408,98.62mins,"['m', 'mr', 'farnsworth', 're', 'do', 'right', 'him', 'your', 'uh', 'if']"
Hoopersrt,1978,10134,96.55mins,"['do', 'sonny', 'll', 're', 'm', 'your', 'right', 'here', 'are', 'ha']"
Jaws2srt,1978,7491,113.44mins,"['come', 'out', 'right', 're', 'okay', 'go', 'there', 'know', 'yeah', 'up']"
MidnightExpresssrt,1978,4668,115.41mins,"['they', 'know', 'll', 'here', 'there', 'your', 're', 'are', 've', 'got']"
NationalLampoonsAnimalHousesrt,1978,73,101.01mins,"['c', 'faber', 'college', 'robert', 'hoover', 'public', 'defender', 'baltimore', 'maryland', 'lawrence']"
RevengeofthePinkPanthersrt,1978,7648,98.15mins,"['yes', 'know', 'your', 'do', 'but', 'are', 'him', 'mr', 'inspector', 'now']"
Supermansrt,1978,9156,143.30mins,"['your', 'do', 'are', 'with', 'will', 'right', 'know', 'here', 'one', 'm']"
TheDeerHuntersrt,1978,9422,179.90mins,"['hey', 'come', 'know', 'mike', 'right', 'go', 're', 'do', 'here', 'michael']"
Aliensrt,1979,6383,115.75mins,"['dallas', 'right', 'here', 'parker', 'ripley', 'do', 'lambert', 'out', 'come', 'ash']"
AllThatJazzsrt,1979,11199,122.47mins,"['bye', 'your', 'm', 'with', 're', 'know', 'think', 'do', 'right', 'just']"
ApocalypseNowsrt,1979,12049,146.61mins,"['there', 'out', 'man', 'here', 'they', 'right', 'm', 'up', 're', 'do']"
BreakingAwaysrt,1979,7524,99.33mins,"['re', 'm', 'they', 'are', 'come', 'going', 'your', 'go', 'team', 'right']"
KramervsKramersrt,1979,10170,104.80mins,"['m', 'your', 'do', 're', 'know', 'll', 'if', 'go', 'him', 'with']"
Moonrakersrt,1979,5115,123.94mins,"['moonraker', 'mr', 'bond', 'your', 're', 'there', 'drax', 'yes', 'do', 'm']"
NormaRaesrt,1979,8541,113.56mins,"['your', 'm', 'union', 'got', 're', 'll', 'come', 'up', 'good', 'with']"
RockyIIsrt,1979,13655,116.26mins,"['know', 'yeah', 'now', 'right', 're', 'rocky', 'want', 'do', 'come', 'hey']"
StarTrekTheMotionPicturesrt,1979,6412,120.77mins,"['captain', 'mr', 'v', 'ger', 'with', 'spock', 'as', 'are', 'our', 'they']"
Tesssrt,1979,9371,168.81mins,"['your', 'but', 'll', 'are', 'yes', 'with', 'there', 'd', 'm', 'at']"
TheAmityvilleHorrorsrt,1979,5560,115.56mins,"['here', 'there', 'll', 'do', 'your', 'are', 'm', 'go', 'just', 'come']"
TheElectricHorsemansrt,1979,24595,120.26mins,"['do', 'him', 're', 'they', 'just', 'are', 'know', 'your', 'm', 'there']"
TheJerksrt,1979,9348,93.63mins,"['navin', 'your', 'here', 'pick', 'bale', 'gonna', 'm', 'just', 'll', 're']"
TheMuppetMoviesrt,1979,9845,94.99mins,"['kermit', 'fozzie', 'hey', 'yeah', 'frog', 'right', 'm', 're', 'do', 'there']"
9to5srt,1980,12073,108.45mins,"['m', 'just', 'll', 'here', 're', 'hart', 'your', 've', 'they', 'him']"
Airplanesrt,1980,7177,87.41mins,"['ll', 'there', 're', 'your', 've', 'out', 'right', 'know', 'captain', 'm']"
AnyWhichWayYouCansrt,1980,7695,111.61mins,"['re', 'him', 'are', 'philo', 'your', 'right', 'yeah', 'up', 'there', 'm']"
CoalMinersDaughtersrt,1980,12582,124.08mins,"['m', 'here', 'ain', 'doo', 'your', 'do', 'gonna', 'up', 'come', 'll']"
OrdinaryPeoplesrt,1980,11280,121.02mins,"['do', 'know', 'just', 'm', 'about', 're', 'yeah', 'are', 'your', 'how']"
PrivateBenjaminsrt,1980,8254,106.78mins,"['your', 'm', 'll', 'are', 're', 'with', 'up', 'do', 'but', 'want']"
RagingBullsrt,1980,14862,123.67mins,"['m', 'do', 're', 'right', 'come', 'him', 'with', 'gonna', 'here', 'ya']"
SmokeyAndTheBanditIIsrt,1980,12209,100.52mins,"['bandit', 'your', 'm', 'cledus', 're', 'got', 'do', 'gonna', 'carrie', 'll']"
StirCrazysrt,1980,8190,111.02mins,"['m', 're', 'do', 'out', 'll', 'okay', 'him', 'they', 'your', 'here']"
TheBlueLagoonsrt,1980,3833,102.34mins,"['do', 'are', 'there', 'them', 'look', 'come', 'll', 'know', 'see', 'go']"
TheBluesBrotherssrt,1980,9390,144.61mins,"['re', 'go', 'they', 'your', 'do', 'let', 'out', 'got', 'are', 'back']"
TheElephantMansrt,1980,6598,120.21mins,"['mr', 'yes', 'very', 'your', 'him', 'good', 'm', 'merrick', 'right', 'now']"
TheEmpireStrikesBacksrt,1980,7925,120.60mins,"['your', 'm', 're', 'there', 'are', 'll', 'will', 'out', 'yes', 'do']"
Arthursrt,1981,9719,97.09mins,"['arthur', 'm', 'know', 'your', 're', 'linda', 'do', 'll', 'here', 'are']"
AtlanticCitysrt,1981,8309,100.51mins,"['m', 'your', 're', 'here', 'know', 'got', 'there', 'do', 'with', 'are']"
ChariotsofFiresrt,1981,9491,119.11mins,"['your', 'do', 've', 'mr', 'but', 'abrahams', 'm', 'as', 're', 'are']"
ForYourEyesOnlysrt,1981,5007,125.22mins,"['ll', 'your', 'him', 'm', 'are', 'go', 'only', 'bond', 'here', 're']"
OnGoldenPondsrt,1981,9959,106.68mins,"['norman', 'm', 're', 'here', 'do', 'are', 'your', 'just', 'know', 'right']"
RaidersOfTheLostArksrt,1981,5542,110.27mins,"['they', 'here', 'are', 'your', 'jones', 'ark', 're', 'do', 'out', 'know']"
Redssrt,1981,22782,194.82mins,"['do', 'm', 'they', 'jack', 'are', 'your', 'know', 'with', 're', 'think']"
Stripessrt,1981,10015,120.01mins,"['re', 'your', 'm', 'right', 'do', 'are', 'go', 'out', 'here', 'got']"
SupermanIIsrt,1981,7849,110.77mins,"['your', 'superman', 'come', 'there', 'are', 'just', 'do', 'will', 'here', 'know']"
TheCannonballRunsrt,1981,9590,95.18mins,"['re', 'do', 'm', 'got', 'are', 'know', 'j', 'gonna', 'there', 'here']"
TheFourSeasonssrt,1981,13015,105.44mins,"['m', 're', 'do', 'just', 'right', 'with', 'come', 'know', 'about', 'll']"
TimeBanditssrt,1981,8591,111.62mins,"['come', 'are', 'continues', 'go', 'do', 've', 'here', 'laughing', 're', 'know']"
48Hrssrt,1982,9414,92.39mins,"['yeah', 'right', 'got', 'm', 're', 'man', 'your', 'out', 'know', 'here']"
AnOfficerandaGentlemansrt,1982,10570,124.20mins,"['your', 'are', 'right', 'out', 'go', 'want', 'do', 'got', 'up', 'm']"
Anniesrt,1982,9653,125.41mins,"['re', 'here', 'come', 'll', 'your', 'm', 'they', 'tomorrow', 'little', 'got']"
ETTheExtraTerrestrialsrt,1982,5097,108.37mins,"['him', 'elliott', 're', 'home', 'here', 'e', 'come', 'okay', 'are', 'phone']"
Gandhisrt,1982,12482,183.75mins,"['l', 'will', 'they', 'but', 'are', 'do', 'your', 'mr', 'there', 'as']"
Missingsrt,1982,11286,119.44mins,"['l', 'they', 'here', 'm', 'your', 'there', 'do', 'with', 're', 'are']"
Poltergeistsrt,1982,6488,108.13mins,"['re', 'are', 'here', 'your', 'they', 'm', 'one', 'know', 'with', 'there']"
Porkyssrt,1982,10627,98.43mins,"['re', 'right', 'yeah', 'come', 'do', 'got', 'go', 'pee', 'wee', 'm']"
RockyIIIsrt,1982,10396,99.25mins,"['come', 'him', 'your', 'do', 'm', 'rocky', 'up', 'with', 'right', 'fight']"
StarTrekTheWrathOfKhansrt,1982,7082,107.46mins,"['admiral', 'are', 'your', 're', 'captain', 'there', 'genesis', 'do', 'they', 'reliant']"
TheBestLittleWhorehouseInTexassrt,1982,12631,105.48mins,"['just', 'they', 'll', 'know', 'm', 'about', 'but', 'little', 'your', 'now']"
TheVerdictsrt,1982,11090,123.66mins,"['l', 'do', 'your', 'm', 'are', 're', 'they', 'know', 'yes', 'case']"
Tootsiesrt,1982,13808,113.51mins,"['m', 'do', 'll', 're', 'know', 'your', 'just', 'but', 'good', 'with']"
Flashdancesrt,1983,3286,44.52mins,"['l', 'll', 'm', 'your', 'come', 're', 'do', 'about', 'so', 'if']"
MrMomsrt,1983,9055,89.37mins,"['m', 're', 'okay', 'right', 'jack', 'your', 'are', 'gonna', 'know', 'here']"
Octopussysrt,1983,5001,127.50mins,"['l', 'll', 'him', 'lt', 'will', 'thank', 'with', 'your', 'bond', 'at']"
ReturnoftheJedisrt,1983,6386,125.95mins,"['your', 'will', 're', 'are', 'here', 'm', 'they', 'with', 'him', 'as']"
RiskyBusinesssrt,1983,6938,95.80mins,"['do', 'm', 'joel', 'your', 're', 'are', 'here', 'just', 'll', 'right']"
StayingAlivesrt,1983,5570,96.08mins,"['l', 're', 'are', 'do', 'got', 'll', 'm', 'know', 'want', 'lt']"
SuddenImpactsrt,1983,5228,117.09mins,"['your', 'll', 'do', 're', 'him', 'are', 'out', 'm', 'callahan', 'just']"
TenderMerciessrt,1983,7931,87.68mins,"['know', 'll', 'your', 'here', 'but', 'do', 'if', 'just', 'see', 'at']"
TermsofEndearmentsrt,1983,10419,123.32mins,"['m', 're', 'your', 'so', 'know', 'do', 'come', 'll', 'are', 'just']"
TheBigChillsrt,1983,9192,102.04mins,"['know', 'do', 'm', 're', 'about', 'with', 'alex', 'but', 'they', 'think']"
TheDressersrt,1983,9175,113.57mins,"['him', 'do', 'your', 'know', 'never', 'there', 've', 'm', 'will', 'with']"
TheRightStuffsrt,1983,12646,187.16mins,"['they', 're', 'there', 'up', 'are', 'here', 'm', 'with', 'do', 'go']"
TradingPlacessrt,1983,8936,116.16mins,"['your', 'are', 'm', 'do', 're', 'winthorpe', 'll', 'right', 'there', 'with']"
WarGamessrt,1983,9056,108.12mins,"['they', 'are', 're', 'do', 'right', 'here', 'know', 'out', 'll', 'm']"
APassageToIndiasrt,1984,11111,161.09mins,"['mrs', 'are', 'do', 'but', 'moore', 'yes', 'miss', 'quested', 'm', 'with']"
ASoldiersStorysrt,1984,9760,97.73mins,"['him', 'they', 'j', 'yes', 'c', 'your', 'do', 'see', 'up', 'did']"
Amadeussrt,1984,10400,180.39mins,"['do', 'your', 'mozart', 'him', 'with', 'yes', 'one', 'm', 'know', 'his']"
BeverlyHillsCopsrt,1984,8552,96.81mins,"['l', 'm', 'out', 'do', 'here', 'll', 'your', 're', 'know', 'going']"
Footloosesrt,1984,8188,100.23mins,"['re', 'your', 'do', 'know', 'm', 'come', 'gonna', 'dance', 'just', 'they']"
Ghostbusterssrt,1984,9567,100.51mins,"['m', 'are', 'there', 'your', 'do', 're', 'here', 'right', 'gonna', 'know']"
Gremlinssrt,1984,5391,98.72mins,"['ll', 're', 'your', 'him', 'they', 'here', 'm', 'do', 'christmas', 'one']"
IndianaJonesAndTheTempleOfDoomsrt,1984,4618,112.93mins,"['jones', 'dr', 're', 'm', 'go', 'here', 'are', 'indy', 'they', 'willie']"
PlacesintheHeartsrt,1984,7264,107.96mins,"['here', 'll', 'right', 'your', 'come', 'do', 'spalding', 'm', 'am', 'got']"
