movie,year,numberofwords,time,toptenwords
OntheWaterfrontsrt,1954,11275,107.42mins,"['do', 'here', 'him', 'your', 'know', 'come', 're', 'just', 'right', 'up']"
RearWindowsrt,1954,10795,112.25mins,"['do', 'there', 'with', 'll', 'just', 'now', 'out', 'up', 'your', 'if']"
SevenBridesForSevenBrotherssrt,1954,8474,101.05mins,"['ooh', 're', 'your', 'them', 'll', 'milly', 'up', 'they', 'got', 'there']"
TheCaineMutinysrt,1954,12881,123.39mins,"['captain', 're', 'm', 'do', 'your', 'll', 'with', 'there', 'ship', 've']"
TheCountryGirlsrt,1954,9767,99.86mins,"['him', 'frank', 'll', 'm', 'do', 'if', 'go', 'got', 'with', 'but']"
TheGlennMillerStorysrt,1954,9554,110.23mins,"['m', 'glenn', 'll', 'know', 'right', 're', 'do', 'your', 'just', 'here']"
TheresNoBusinessLikeShowBusinesssrt,1954,14855,117.10mins,"['ll', 'with', 're', 'but', 'm', 'do', 'just', 'there', 'come', 'they']"
ThreeCoinsintheFountainsrt,1954,10571,101.69mins,"['m', 'do', 'but', 'with', 'yes', 'your', 've', 'll', 'know', 'are']"
WhiteChristmassrt,1954,15970,119.81mins,"['ll', 're', 'm', 'know', 'do', 'up', 'just', 'with', 'but', 'here']"
BattleCrysrt,1955,15660,148.24mins,"['ll', 're', 'm', 'your', 'out', 'here', 'up', 'they', 'got', 'right']"
GuysandDollssrt,1955,15463,148.64mins,"['do', 'nathan', 'm', 'your', 'with', 'but', 'are', 'if', 're', 'll']"
IllCryTomorrowsrt,1955,11144,118.75mins,"['m', 'll', 'know', 'right', 've', 'just', 're', 'your', 'go', 'now']"
LadyandtheTrampsrt,1955,5752,75.81mins,"['now', 'll', 'here', 'but', 'there', 'lady', 'they', 'right', 'come', 'darling']"
LoveIsaManySplendoredThingsrt,1955,9209,101.94mins,"['m', 'will', 'your', 'mark', 'do', 'suyin', 'are', 'but', 'with', 'know']"
Martysrt,1955,11083,93.70mins,"['so', 'know', 'marty', 'm', 'with', 'll', 'about', 'got', 'do', 'hey']"
MisterRobertssrt,1955,12925,120.23mins,"['l', 'here', 'm', 've', 'your', 'right', 'now', 'there', 'they', 'out']"
NotasaStrangersrt,1955,11838,130.07mins,"['l', 'll', 're', 'know', 'right', 'm', 'doctor', 'do', 've', 'but']"
Oklahomasrt,1955,13750,139.47mins,"['your', 'with', 'do', 'ain', 'got', 'will', 'up', 'as', 'll', 'say']"
Picnicsrt,1955,9867,111.99mins,"['madge', 'your', 'll', 'm', 'go', 'do', 'got', 'with', 'come', 'howard']"
StrategicAirCommandsrt,1955,11716,113.58mins,"['re', 'dutch', 'm', 'know', 'just', 'll', 'your', 'do', 'are', 'right']"
TheRoseTattoosrt,1955,12668,116.19mins,"['know', 'go', 'your', 'please', 'rose', 'm', 'got', 'with', 'yeah', 'but']"
TheSeaChasesrt,1955,10391,117.09mins,"['ll', 'your', 'but', 're', 'there', 'captain', 'with', 'do', 'are', 'they']"
TheSevenYearItchsrt,1955,10254,99.49mins,"['m', 'll', 'do', 'just', 'with', 'there', 're', 'know', 'here', 'if']"
AroundTheWorldIn80Dayssrt,1956,10686,174.29mins,"['here', 'yes', 'but', 'at', 'do', 'are', 'mr', 'fogg', 'your', 'with']"
FriendlyPersuasionsrt,1956,8135,137.19mins,"['thee', 'll', 'come', 'thy', 'let', 'go', 'here', 'there', 'up', 'with']"
Giantsrt,1956,13978,197.60mins,"['m', 'll', 're', 'here', 'your', 'just', 'with', 'do', 'good', 'know']"
HighSocietysrt,1956,10097,106.67mins,"['your', 're', 'm', 'do', 'tracy', 'll', 'know', 'but', 'with', 'here']"
TheEddyDuchinStorysrt,1956,8760,121.15mins,"['m', 'do', 'your', 'eddy', 've', 'know', 'good', 're', 'll', 'but']"
TheKingandIsrt,1956,11004,132.84mins,"['your', 'do', 'majesty', 'king', 'shall', 'are', 'will', 'with', 'but', 'very']"
TheTeahouseOfTheAugustMoonsrt,1956,13831,122.89mins,"['boss', 'they', 'know', 'yes', 'now', 'do', 'say', 'here', 'right', 'sakini']"
TheTenCommandmentssrt,1956,18108,225.69mins,"['your', 'will', 'god', 'moses', 'his', 'are', 'from', 'with', 'him', 'but']"
Trapezesrt,1956,9488,101.46mins,"['act', 'mike', 'your', 'tino', 'll', 'him', 'do', 'are', 'with', 'triple']"
WarAndPeacesrt,1956,13684,207.41mins,"['ll', 'your', 'y', 'are', 'with', 'come', 'him', 'do', 're', 'there']"
12AngryMensrt,1957,15556,95.05mins,"['know', 'do', 'think', 'here', 'now', 'about', 're', 'right', 'boy', 'his']"
Afarewelltoarmssrt,1957,11621,145.83mins,"['ll', 're', 'm', 'they', 'do', 'will', 'but', 'are', 'your', 'darling']"
GunfightAtTheOkCorralsrt,1957,10024,122.31mins,"['doc', 'your', 'out', 'll', 'there', 're', 'wyatt', 'good', 'know', 'm']"
IslandintheSunsrt,1957,11241,117.64mins,"['do', 'know', 'there', 'with', 'your', 'here', 'about', 'd', 'yes', 'm']"
OldYellersrt,1957,7344,83.56mins,"['yeller', 'him', 'dog', 'old', 'come', 'll', 'mama', 'boy', 'but', 'go']"
PalJoeysrt,1957,9755,109.10mins,"['l', 'm', 'your', 'do', 'with', 'll', 'joey', 'but', 'know', 'lt']"
PeytonPlacesrt,1957,15425,150.53mins,"['do', 'your', 'll', 'but', 'know', 'with', 'allison', 'just', 'about', 'm']"
RaintreeCountysrt,1957,13016,165.09mins,"['l', 'johnny', 'there', 'll', 'with', 'm', 'do', 'know', 'about', 're']"
Sayonarasrt,1957,12898,147.07mins,"['do', 'm', 'there', 'y', 'japanese', 'here', 'with', 'gonna', 'are', 'know']"
TheBridgeontheRiverKwaiDualsrt,1957,9660,155.44mins,"['your', 'there', 'they', 'll', 'do', 'if', 'will', 're', 'are', 'm']"
TheThreeFacesofEvesrt,1957,10498,91.13mins,"['do', 'know', 'but', 'about', 'one', 'with', 'white', 'm', 'think', 'out']"
WitnessfortheProsecutionsrt,1957,15982,116.21mins,"['your', 'but', 'do', 'with', 'will', 'vole', 'm', 'did', 'mrs', 'yes']"
AuntieMamesrt,1958,15015,143.40mins,"['your', 'll', 'now', 'mame', 'm', 'do', 'with', 'patrick', 'are', 'mr']"
CatonaHotTinRoofsrt,1958,12171,102.93mins,"['big', 'daddy', 'your', 've', 'him', 'why', 'know', 'do', 'with', 'm']"
Gigisrt,1958,11562,115.46mins,"['your', 'with', 'do', 'but', 'are', 'gigi', 'gaston', 'at', 'so', 'yes']"
Indiscreetsrt,1958,13036,99.67mins,"['m', 'll', 're', 'do', 'your', 'him', 'yes', 'know', 'are', 'how']"
NoTimeforSergeantssrt,1958,14722,118.45mins,"['they', 'will', 'here', 'out', 'll', 'ben', 'do', 'your', 'right', 're']"
SeparateTablessrt,1958,11562,98.81mins,"['know', 'm', 'your', 'yes', 'but', 'do', 'so', 'there', 'at', 'think']"
SomeCameRunningsrt,1958,16053,129.90mins,"['dave', 'know', 'm', 'your', 'do', 'just', 're', 'but', 'with', 'here']"
SouthPacificsrt,1958,12154,155.78mins,"['m', 'are', 'do', 'they', 'there', 'know', 'come', 'here', 'your', 'about']"
TheDefiantOnessrt,1958,7708,92.15mins,"['they', 're', 'go', 'come', 'got', 'do', 'em', 'up', 'here', 'right']"
TheInnOfTheSixthHappinesssrt,1958,13305,157.24mins,"['but', 'are', 'with', 'll', 'they', 'will', 'there', 'your', 'them', 'if']"
TheVikingssrt,1958,5144,113.87mins,"['him', 'your', 'll', 'will', 'ragnar', 'his', 'with', 'but', 'do', 'aella']"
TheYoungLionssrt,1958,12545,166.60mins,"['are', 'yes', 'm', 'do', 'your', 're', 'will', 'know', 'here', 'with']"
AnatomyOfAMurdersrt,1959,23612,160.44mins,"['l', 'your', 'manion', 'mr', 'did', 'do', 'now', 'with', 'know', 'yes']"
BenHursrt,1959,9652,222.41mins,"['your', 'they', 'will', 'him', 'them', 'are', 'there', 'judah', 'do', 'come']"
ImitationofLifesrt,1959,14320,122.16mins,"['m', 'but', 'll', 'do', 'know', 're', 'with', 'yes', 'good', 'jane']"
NorthbyNorthwestsrt,1959,11009,130.75mins,"['do', 'm', 'll', 'your', 'mr', 'kaplan', 'know', 'right', 'yes', 're']"
OperationPetticoatsrt,1959,12105,120.25mins,"['yes', 'do', 're', 'your', 'they', 'll', 'but', 'm', 'with', 'up']"
PillowTalksrt,1959,10723,101.72mins,"['ll', 'm', 'with', 'but', 'your', 'know', 'just', 'do', 'out', 'if']"
RoomatTheTopsrt,1959,13260,116.64mins,"['joe', 'know', 'do', 're', 'm', 'but', 've', 'll', 'about', 'with']"
SomeLikeItHotsrt,1959,12284,120.81mins,"['l', 're', 'm', 'll', 'with', 'your', 'are', 'up', 'they', 'there']"
Suddenlylastsummersrt,1959,12541,109.56mins,"['sebastian', 'they', 'but', 'him', 'do', 'there', 'with', 'as', 'your', 'are']"
TheDiaryofAnneFranksrt,1959,14804,174.14mins,"['mr', 'they', 'here', 'anne', 'us', 'good', 'know', 'm', 'do', 'are']"
TheNunsstorysrt,1959,9500,148.05mins,"['sister', 'your', 'will', 'but', 'mother', 'are', 'with', 'do', 'll', 'as']"
TheShaggyDogsrt,1959,9324,101.56mins,"['wilby', 'dog', 'here', 'do', 'll', 'm', 'know', 're', 'about', 'now']"
Butterfieldsrt,1960,8843,108.29mins,"['m', 'your', 'do', 'know', 'but', 're', 'with', 've', 'one', 'about']"
ElmerGantrysrt,1960,13915,146.63mins,"['god', 'm', 'but', 'sister', 're', 'do', 'with', 'your', 'll', 'gantry']"
Exodussrt,1960,17058,197.38mins,"['they', 'do', 'll', 'are', 'will', 'if', 'with', 'your', 'them', 'know']"
FromtheTerracesrt,1960,15022,136.58mins,"['your', 'do', 're', 'm', 'with', 'know', 'll', 'if', 'but', 'eaton']"
OceansElevensrt,1960,11102,122.20mins,"['ll', 'your', 'with', 'm', 'out', 're', 'got', 'do', 'him', 'one']"
Psychosrt,1960,8640,108.17mins,"['there', 'do', 'just', 'mother', 'if', 'll', 'your', 'but', 'here', 'm']"
SonsandLoverssrt,1960,10782,97.50mins,"['ll', 've', 'your', 'do', 'mother', 'paul', 'go', 'if', 'him', 'm']"
Spartacussrt,1960,12477,194.24mins,"['your', 'rome', 'with', 'him', 'they', 'are', 'them', 'spartacus', 'here', 'll']"
SwissFamilyRobinsonsrt,1960,10106,126.17mins,"['come', 'll', 'here', 'they', 'fritz', 're', 'right', 'ernst', 'there', 'go']"
TheAlamosrt,1960,11679,153.49mins,"['your', 'but', 'men', 'm', 'here', 'colonel', 'are', 'there', 'crockett', 'they']"
TheApartmentsrt,1960,14663,124.81mins,"['m', 'baxter', 'mr', 'know', 'do', 'so', 'just', 'your', 'out', 'here']"
TheSundownerssrt,1960,12670,127.64mins,"['ll', 're', 'do', 'right', 'about', 'him', 'come', 'with', 'your', 've']"
TheWorldofSuzieWongsrt,1960,10477,125.29mins,"['very', 'suzie', 'robert', 'yes', 'll', 'do', 'm', 'want', 'know', 'go']"
ComeSeptembersrt,1961,9822,108.31mins,"['re', 'they', 'll', 'do', 'm', 'your', 'are', 'him', 'there', 'them']"
ElCidsrt,1961,7809,184.97mins,"['will', 'your', 'king', 'cid', 'are', 'rodrigo', 'do', 'our', 'must', 'would']"
Fannysrt,1961,12780,133.40mins,"['ha', 'marius', 'your', 'panisse', 'now', 'are', 'but', 'fanny', 'yes', 'him']"
JudgmentatNurembergsrt,1961,16804,179.08mins,"['your', 'do', 'yes', 'were', 'they', 'did', 'are', 'there', 'will', 'know']"
KingofKingssrt,1961,10054,170.89mins,"['will', 'your', 'are', 'his', 'him', 'man', 'with', 'do', 'jesus', 'who']"
LaDolceVitasrt,1961,10896,86.36mins,"['do', 'are', 'but', 'go', 'here', 'let', 'there', 'with', 'm', 'how']"
LoverComeBacksrt,1961,9888,102.22mins,"['ll', 'm', 're', 'with', 'webster', 'vip', 'mr', 'your', 'there', 'but']"
OneHundredandOneDalmatianssrt,1961,6947,78.75mins,"['they', 'll', 're', 'come', 'pongo', 'here', 'do', 'puppies', 'there', 'm']"
TheAbsentMindedProfessorsrt,1961,9216,95.78mins,"['do', 'go', 'now', 'your', 'there', 'just', 're', 'hawk', 'm', 'right']"
TheGunsofNavaronesrt,1961,7777,154.97mins,"['they', 'll', 'm', 'your', 'do', 'but', 're', 'as', 've', 'are']"
TheHustlersrt,1961,7368,133.56mins,"['eddie', 'do', 'got', 'm', 'how', 're', 'll', 'game', 'want', 'your']"
TheParentTrapsrt,1961,11719,129.07mins,"['do', 'your', 'm', 'are', 're', 'know', 'll', 've', 'just', 'with']"
BonVoyagesrt,1962,16714,131.80mins,"['do', 'know', 'now', 'just', 'm', 're', 'about', 'with', 'your', 'there']"
