File Name,Word Count
Philomena.txt,11173
Iron Man 3.txt,12842
Man of Steel.txt,8383
Fast & Furious 6.txt,9627
American Hustle.txt,26526
Monsters University.txt,10556
The Wolf of Wall Street.txt,29599
Gravity.txt,7242
The Hunger Games Catching Fire.txt,11109
Dallas Buyers Club.txt,11285
The Hobbit The Desolation of Smaug.txt,10156
12 Years a Slave.txt,9408
Thor The Dark World.txt,7574
Captain Phillips.txt,11433
Nebraska.txt,10743
Despicable Me 2.txt,7234
Her.txt,8735
Frozen.txt,8741
Maleficent.txt,3996
Whiplash.txt,8414
Dawn of the Planet of the Apes.txt,5024
The Hunger Games Mockingjay - Part 1.txt,8107
Captain America The Winter Soldier.txt,9839
The Theory of Everything.txt,7877
Guardians of the Galaxy.txt,9783
Transformers Age of Extinction.txt,17198
The Grand Budapest Hotel.txt,9191
The Hobbit The Battle of the Five Armies.txt,7821
American Sniper.txt,14124
Boyhood.txt,13881
The Amazing Spider-Man 2.txt,11583
Interstellar.txt,17022
X-Men Days of Future Past.txt,8258
Selma.txt,13566
Birdman or (The Unexpected Virtue of Ignorance).txt,13881
The Imitation Game.txt,14281
Doctor Strange in the Multiverse of Madness.txt,8544
Triangle of Sadness.txt,15565
All Quiet on the Western Front.txt,10312
Tár.txt,14747
The Fabelmans.txt,15748
Avatar The Way of Water.txt,11352
The Batman.txt,10274
The Banshees of Inisherin.txt,10062
Puss in Boots The Last Wish.txt,10979
Jurassic World Dominion.txt,11553
Women Talking.txt,10659
Minions The Rise of Gru.txt,6383
Everything Everywhere All at Once.txt,11234
Top Gun Maverick.txt,10639
Elvis.txt,12140
Thor Love and Thunder.txt,11429
Water Gate Bridge.txt,54
Black Panther Wakanda Forever.txt,10287
Bob Marley One Love.txt,9386
The Beekeeper.txt,10648
Ghostbusters Frozen Empire.txt,10579
Dune Part Two.txt,6698
Kung Fu Panda 4.txt,10634
The Fall Guy.txt,19011
Godzilla x Kong The New Empire.txt,6237
Anatomy of a Fall.txt,16897
American Fiction.txt,14303
Poor Things.txt,10951
Maestro.txt,15124
Wonka.txt,13967
The Zone of Interest.txt,5506
The Super Mario Bros. Movie.txt,6172
Past Lives.txt,5269
Elemental.txt,8450
Killers of the Flower Moon.txt,21608
Spider-Man Across the Spider-Verse.txt,15383
Mission Impossible - Dead Reckoning Part One.txt,12712
The Little Mermaid.txt,10053
Guardians of the Galaxy Vol. 3.txt,10897
The Holdovers.txt,15483
Barbie.txt,16805
Avengers Age of Ultron.txt,12766
Room.txt,9683
The Big Short.txt,19022
Bridge of Spies.txt,14567
The Hunger Games Mockingjay - Part 2.txt,10372
Furious 7.txt,24147
