Movie,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Joking
Philomena.txt,0.5513868927955627,0.616963267326355,0.47417300939559937,0.5337754487991333,0.35020649433135986,0.40495365858078003,0.45531371235847473,0.39375439286231995,0.3545791804790497,0.4447405934333801
Iron Man 3.txt,0.5513868927955627,0.616963267326355,0.47417300939559937,0.5337754487991333,0.35020649433135986,0.40495365858078003,0.45531371235847473,0.39375439286231995,0.3545791804790497,0.4447405934333801
Man of Steel.txt,0.5513868927955627,0.616963267326355,0.47417300939559937,0.5337754487991333,0.35020649433135986,0.40495365858078003,0.45531371235847473,0.39375439286231995,0.3545791804790497,0.4447405934333801
Fast & Furious 6.txt,0.5513868927955627,0.616963267326355,0.47417300939559937,0.5337754487991333,0.35020649433135986,0.40495365858078003,0.45531371235847473,0.39375439286231995,0.3545791804790497,0.4447405934333801
American Hustle.txt,0.5513868927955627,0.616963267326355,0.47417300939559937,0.5337754487991333,0.35020649433135986,0.40495365858078003,0.45531371235847473,0.39375439286231995,0.3545791804790497,0.4447405934333801
Monsters University.txt,0.5513868927955627,0.616963267326355,0.47417300939559937,0.5337754487991333,0.35020649433135986,0.40495365858078003,0.45531371235847473,0.39375439286231995,0.3545791804790497,0.4447405934333801
The Wolf of Wall Street.txt,0.5513868927955627,0.616963267326355,0.47417300939559937,0.5337754487991333,0.35020649433135986,0.40495365858078003,0.45531371235847473,0.39375439286231995,0.3545791804790497,0.4447405934333801
Gravity.txt,0.5513868927955627,0.616963267326355,0.47417300939559937,0.5337754487991333,0.35020649433135986,0.40495365858078003,0.45531371235847473,0.39375439286231995,0.3545791804790497,0.4447405934333801
The Hunger Games Catching Fire.txt,0.5513868927955627,0.616963267326355,0.47417300939559937,0.5337754487991333,0.35020649433135986,0.40495365858078003,0.45531371235847473,0.39375439286231995,0.3545791804790497,0.4447405934333801
Dallas Buyers Club.txt,0.5513868927955627,0.616963267326355,0.47417300939559937,0.5337754487991333,0.35020649433135986,0.40495365858078003,0.45531371235847473,0.39375439286231995,0.3545791804790497,0.4447405934333801
The Hobbit The Desolation of Smaug.txt,0.5513868927955627,0.616963267326355,0.47417300939559937,0.5337754487991333,0.35020649433135986,0.40495365858078003,0.45531371235847473,0.39375439286231995,0.3545791804790497,0.4447405934333801
