File Name,Word Count
Return of the Jedi.txt,7841
Star Wars Episode I - The Phantom Menace.txt,11387
The Flintstones.txt,11171
Quiz Show.txt,24762
Toy Story.txt,10095
Poltergeist.txt,7701
Godzilla.txt,8765
A Bugs Life.txt,12680
The English Patient.txt,13038
Batman Returns.txt,7761
Sister Act.txt,10805
American Beauty.txt,12302
Mulan.txt,7192
Annie.txt,11428
Coming Home.txt,10922
The Addams Family.txt,7397
Raging Bull.txt,16908
The Nutty Professor.txt,16690
Kiss Of The Spider Woman.txt,11524
Waterworld.txt,7800
A Soldiers Story.txt,11954
The Best Little Whorehouse In Texas.txt,15616
Rocky III.txt,12934
The Pelican Brief.txt,11519
Ghostbusters.txt,11333
My Best Friends Wedding.txt,9338
The Big Chill.txt,10952
A Star Is Born.txt,12841
The Silence of the Lambs.txt,10301
Dances With Wolves.txt,10072
The World Is Not Enough.txt,8236
Sense and Sensibility.txt,10064
Life Is Beautiful.txt,10994
Elizabeth.txt,7443
The Full Monty.txt,8765
Norma Rae.txt,10734
WarGames.txt,10022
Mission Impossible.txt,5358
Ruthless People.txt,10245
Tootsie.txt,15784
Reds.txt,25921
The Turning Point.txt,9771
Trading Places.txt,10418
The Amityville Horror.txt,6526
Babe.txt,9794
Four Weddings and a Funeral.txt,13528
Tomorrow Never Dies.txt,9604
Children of a Lesser God.txt,4740
True Lies.txt,11756
The Mission.txt,4568
Police Academy.txt,8033
Tarzan.txt,6173
Stripes.txt,11784
Robin Hood Prince of Thieves.txt,10940
Hannah And Her Sisters.txt,15267
Jumanji.txt,7680
Philadelphia.txt,8077
Batman Forever.txt,8346
Shine.txt,5534
Back To School.txt,11617
The Thin Red Line.txt,10170
The Lion King.txt,8788
Grease.txt,17533
Howards End.txt,16530
Seven.txt,10888
The Color Purple.txt,10214
Nashville.txt,17358
The Crying Game.txt,8046
E.T. The Extra-Terrestrial.txt,6296
Close Encounters of the Third Kind.txt,83
Scent Of A Woman.txt,17243
The Elephant Man.txt,8031
The Fugitive.txt,9546
The Blue Lagoon.txt,4597
Home Alone.txt,8796
Apollo 13.txt,19230
All the Presidents Men.txt,19210
A Passage To India.txt,12914
Men In Black.txt,10568
